datum,ka_ruhleben
2014-02-04,197.95
2014-02-05,203.93
2014-02-06,201.12
2014-02-07,205.39
2014-02-08,199.05
2014-02-09,225.32
2014-02-10,193.96
2014-02-11,198.83
2014-02-12,212.044
2014-02-13,224.891
2014-02-14,210.8
2014-02-15,201.84
2014-02-16,198.16
2014-02-17,205.124
2014-02-18,202.09
2014-02-19,203.888
2014-02-20,204.65
2014-02-21,249.1
2014-02-22,205.01
2014-02-23,202.94
2014-02-24,204.172
2014-02-25,199.11
2014-02-26,199.62
2014-02-27,200.84
2014-02-28,209.36
2014-03-01,201.38
2014-03-02,203.76
2014-03-03,207.75
2014-03-04,208.11
2014-03-05,216.51
2014-03-06,191.179
2014-03-07,203.03
2014-03-08,198.79
2014-03-09,188.71
2014-03-10,199.32
2014-03-11,187.862
2014-03-12,73.406
2014-03-13,55.471
2014-03-14,144.812
2014-03-15,197.834
2014-03-16,278
2014-03-17,197.06
2014-03-18,178.285
2014-03-19,233.807
2014-03-20,193.52
2014-03-21,184.005
2014-03-22,207.53
2014-03-23,184.54
2014-03-24,194.95
2014-03-25,260.593
2014-03-26,200.053
2014-03-27,196.993
2014-03-28,202.22
2014-03-29,192.08
2014-03-30,211.74
2014-03-31,68.761
2014-04-01,1.86
2014-04-02,0
2014-04-03,0.502
2014-04-04,4.91
2014-04-05,0
2014-04-06,0.533
2014-04-07,4.57
2014-04-08,10.1
2014-04-09,3.38
2014-04-10,0
2014-04-11,0
2014-04-12,0
2014-04-13,0
2014-04-14,96.134
2014-04-15,0
2014-04-16,2.91
2014-04-17,0.839
2014-04-18,6.018
2014-04-19,0
2014-04-20,0
2014-04-21,0
2014-04-22,5.55
2014-04-23,22.044
2014-04-24,0
2014-04-25,5.11
2014-04-26,2.26
2014-04-27,0.822
2014-04-28,3.7
2014-04-29,3.45
2014-04-30,2.41
2014-05-01,0.392
2014-05-02,152.754
2014-05-03,3.32
2014-05-04,0
2014-05-05,6.16
2014-05-06,1.06
2014-05-07,8.15
2014-05-08,2.05
2014-05-09,72.323
2014-05-10,0.912
2014-05-11,63.743
2014-05-12,45.325
2014-05-13,4.39
2014-05-14,1.93
2014-05-15,4.88
2014-05-16,1.731
2014-05-17,1.702
2014-05-18,137.246
2014-05-19,3.28
2014-05-20,5.44
2014-05-21,2.74
2014-05-22,5.56
2014-05-23,4.73
2014-05-24,0
2014-05-25,0.813
2014-05-26,3.09
2014-05-27,72.618
2014-05-28,218.088
2014-05-29,50.924
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,0.003
2014-06-03,0
2014-06-04,0
2014-06-05,4.378
2014-06-06,0
2014-06-07,0
2014-06-08,0
2014-06-09,0
2014-06-10,0
2014-06-11,4.52
2014-06-12,0
2014-06-13,4.528
2014-06-14,27.907
2014-06-15,0
2014-06-16,2.21
2014-06-17,4.02
2014-06-18,3.39
2014-06-19,4.82
2014-06-20,2.19
2014-06-21,3.61
2014-06-22,6.08
2014-06-23,3.72
2014-06-24,9.116
2014-06-25,185.755
2014-06-26,40.828
2014-06-27,6.06
2014-06-28,0.43
2014-06-29,0
2014-06-30,9.288
2014-07-01,11.341
2014-07-02,8.92
2014-07-03,5.04
2014-07-04,5.46
2014-07-05,5.86
2014-07-06,3.79
2014-07-07,9.114
2014-07-08,130.845
2014-07-09,158.53
2014-07-10,16.471
2014-07-11,42.441
2014-07-12,16.598
2014-07-13,54.691
2014-07-14,2.492
2014-07-15,1.06
2014-07-16,3.56
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0.567
2014-07-23,4.72
2014-07-24,18.994
2014-07-25,105.792
2014-07-26,0
2014-07-27,0.149
2014-07-28,13.287
2014-07-29,105.9
2014-07-30,7.53
2014-07-31,5.25
2014-08-01,4.05
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,26.797
2014-08-06,2.24
2014-08-07,0
2014-08-08,0
2014-08-09,0.1
2014-08-10,0
2014-08-11,13.38
2014-08-12,1.02
2014-08-13,0
2014-08-14,5.495
2014-08-15,0
2014-08-16,10.375
2014-08-17,0
2014-08-18,0.49
2014-08-19,4.991
2014-08-20,3.54
2014-08-21,2.49
2014-08-22,5.391
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,1.43
2014-08-30,0
2014-08-31,51.994
2014-09-01,13.005
2014-09-02,26.231
2014-09-03,0
2014-09-04,0
2014-09-05,3.58
2014-09-06,0
2014-09-07,0.669
2014-09-08,0.823
2014-09-09,1.73
2014-09-10,61.045
2014-09-11,2.601
2014-09-12,0.192
2014-09-13,0
2014-09-14,82.928
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,3.07
2014-09-19,0
2014-09-20,11.163
2014-09-21,0
2014-09-22,11.609
2014-09-23,1.57
2014-09-24,1.61
2014-09-25,1.08
2014-09-26,0.605
2014-09-27,2.76
2014-09-28,0
2014-09-29,2.92
2014-09-30,3.26
2014-10-01,179.973
2014-10-02,193.02
2014-10-03,175.98
