datum;ka_essenkupferdreh
2014-06-03;16826.4
2014-06-04;17568
2014-06-05;30376.8
2014-06-06;16977.6
2014-06-07;16120.8
2014-06-08;13824
2014-06-09;20851.2
2014-06-10;41860.8
2014-06-11;40413.6
2014-06-12;24595.2
2014-06-13;21578.4
2014-06-14;18698.4
2014-06-15;16815.6
2014-06-16;16614
2014-06-17;16689.6
2014-06-18;15706.8
2014-06-19;15008.4
2014-06-20;18396
2014-06-21;14324.4
2014-06-22;13395.6
2014-06-23;14263.2
2014-06-24;14392.8
2014-06-25;13698
2014-06-26;13809.6
2014-06-27;14490
2014-06-28;26373.6
2014-06-29;43092
2014-06-30;22636.8
2014-07-01;16354.8
2014-07-02;15152.4
2014-07-03;14439.6
2014-07-04;13748.4
2014-07-05;17892
2014-07-06;23450.4
2014-07-07;18720
2014-07-08;44398.8
2014-07-09;67244.4
2014-07-10;50101.2
2014-07-11;35175.6
2014-07-12;28011.6
2014-07-13;24919.2
2014-07-14;28756.8
2014-07-15;20941.2
2014-07-16;19051.2
2014-07-17;18295.2
2014-07-18;17740.8
2014-07-19;16336.8
2014-07-20;24804
2014-07-21;51850.8
2014-07-22;34704
2014-07-23;25102.8
2014-07-24;23468.4
2014-07-25;22784.4
2014-07-26;18694.8
2014-07-27;16880.4
2014-07-28;19378.8
2014-07-29;28314
2014-07-30;37918.8
2014-07-31;20322
2014-08-01;17517.6
2014-08-02;24912
2014-08-03;23893.2
2014-08-04;33548.4
2014-08-05;23554.8
2014-08-06;20073.6
2014-08-07;20322
2014-08-08;18666
2014-08-09;20923.2
2014-08-10;15696
2014-08-11;16689.6
2014-08-12;15271.2
2014-08-13;19238.4
2014-08-14;15091.2
2014-08-15;28602
2014-08-16;21920.4
2014-08-17;16639.2
2014-08-18;21538.8
2014-08-19;23338.8
2014-08-20;18306
2014-08-21;15602.4
2014-08-22;17737.2
2014-08-23;18061.2
2014-08-24;13730.4
2014-08-25;16729.2
2014-08-26;41871.6
2014-08-27;25592.4
2014-08-28;20847.6
2014-08-29;19969.2
2014-08-30;21380.4
2014-08-31;24426
2014-09-01;18446.4
2014-09-02;16743.6
2014-09-03;15526.8
2014-09-04;15195.6
2014-09-05;14896.8
2014-09-06;14191.2
2014-09-07;15652.8
2014-09-08;13777.2
2014-09-09;14526
2014-09-10;14634
2014-09-11;14126.4
2014-09-12;16905.6
2014-09-13;14220
2014-09-14;13410
2014-09-15;14176.8
2014-09-16;13809.6
2014-09-17;13604.4
2014-09-18;17550
2014-09-19;45237.6
2014-09-20;23007.6
2014-09-21;25819.2
2014-09-22;16585.2
2014-09-23;13482
2014-09-24;24973.56
2014-09-25;30337.2
2014-09-26;18622.8
2014-09-27;14724
2014-09-28;14367.6
2014-09-29;18201.6
2014-09-30;17906.4
2014-10-01;17589.6
2014-10-02;14894
2014-10-03;14151
2014-10-04;13439
2014-10-05;13346
2014-10-06;14294
2014-10-07;48871
2014-10-08;44322
2014-10-09;56460
2014-10-10;22059
2014-10-11;22652
2014-10-12;19412
2014-10-13;21459
2014-10-14;17585
2014-10-15;16835
2014-10-16;33980
2014-10-17;31366
2014-10-18;17671
2014-10-19;18946
2014-10-20;19545
2014-10-21;39484
2014-10-22;46511
2014-10-23;21027
2014-10-24;19330
2014-10-25;22208
2014-10-26;18436
2014-10-27;16928
2014-10-28;16762
2014-10-29;15632
2014-10-30;15339
2014-10-31;15376
2014-11-01;14359
2014-11-02;13942
2014-11-03;42711
2014-11-04;75581
2014-11-05;44880
2014-11-06;29562
2014-11-07;24964
2014-11-08;22229
2014-11-09;20043
2014-11-10;20671
2014-11-11;22916
2014-11-12;18650
2014-11-13;17487
2014-11-14;17253
2014-11-15;16845
2014-11-16;63476
2014-11-17;25652
2014-11-18;20612
2014-11-19;19928
2014-11-20;18368
2014-11-21;18137
2014-11-22;17583
2014-11-23;16554
2014-11-24;24761
2014-11-25;17113
2014-11-26;20970
2014-11-27;7423
2014-11-28;986
2014-11-29;8264
2014-11-30;NA
2014-12-01;7988
2014-12-02;10568
2014-12-03;NA
2014-12-04;12635
2014-12-05;13463
2014-12-06;384
2014-12-07;1359
2014-12-08;23764
2014-12-09;25779
2014-12-10;NA
2014-12-11;9975
2014-12-12;70119
2014-12-13;88197
2014-12-14;45324
2014-12-15;49406
2014-12-16;34331
2014-12-17;48422
2014-12-18;52898
2014-12-19;67284
2014-12-20;68768
2014-12-21;55725
2014-12-22;41926
2014-12-23;34944
2014-12-24;52458
2014-12-25;54054
2014-12-26;33310
2014-12-27;44549
2014-12-28;29374
2014-12-29;28612
2014-12-30;32547
2014-12-31;39495
2015-01-01;29210.4
2015-01-02;57650.4
2015-01-03;53971.2
2015-01-04;38743.2
2015-01-05;32414.4
2015-01-06;29390.4
2015-01-07;35395.2
2015-01-08;60652.8
2015-01-09;71737.2
2015-01-10;73047.6
2015-01-11;65757.6
2015-01-12;58435.2
2015-01-13;67644
2015-01-14;68302.8
2015-01-15;71409.6
2015-01-16;63907.2
2015-01-17;46764
2015-01-18;36554.4
2015-01-19;32907.6
2015-01-20;28735.2
2015-01-21;25318.8
2015-01-22;23623.2
2015-01-23;22748.4
2015-01-24;23835.6
2015-01-25;32875.2
2015-01-26;53337.6
2015-01-27;39301.2
2015-01-28;40176
2015-01-29;44287.2
2015-01-30;45860.4
2015-01-31;43405.2
2015-02-01;35064
2015-02-02;41547.6
2015-02-03;33818.4
2015-02-04;33444
2015-02-05;27727.2
2015-02-06;25185.6
2015-02-07;24980.4
2015-02-08;31968
2015-02-09;27993.6
2015-02-10;30423.6
2015-02-11;24760.8
2015-02-12;23961.6
2015-02-13;23277.6
2015-02-14;23173.2
2015-02-15;21236.4
2015-02-16;20282.4
2015-02-17;19490.4
2015-02-18;19047.6
2015-02-19;18856.8
2015-02-20;28803.6
2015-02-21;48877.2
2015-02-22;22500
2015-02-23;49752
