Name;Datum;Tagessumme;Vollständigkeit(%)
AachenSoers;2017-12-16;3.50;0
AachenSoers;2017-12-17;4.40;0
AachenSoers;2017-12-18;5.40;0
AachenSoers;2017-12-19;1.20;0
AachenSoers;2017-12-20;0.80;0
AachenSoers;2017-12-21;4.70;0
AachenSoers;2017-12-22;3.30;0
AachenSoers;2017-12-23;0.00;0
AachenSoers;2017-12-24;0.00;0
AachenSoers;2017-12-25;1.30;0
AachenSoers;2017-12-26;3.80;0
AachenSoers;2017-12-27;1.20;0
AachenSoers;2017-12-28;1.00;0
AachenSoers;2017-12-29;3.00;0
AachenSoers;2017-12-30;7.50;0
AachenSoers;2017-12-31;9.40;0
AachenSoers;2018-01-01;6.40;0
AachenSoers;2018-01-02;8.90;0
AachenSoers;2018-01-03;0.80;0
AachenSoers;2018-01-04;5.90;0
AachenSoers;2018-01-05;1.40;0
AachenSoers;2018-01-06;0.20;0
AachenSoers;2018-01-07;0.00;0
Aakgraben;2017-01-01;2.56;100
Aakgraben;2017-01-02;1.72;100
Aakgraben;2017-01-03;4.04;100
Aakgraben;2017-01-04;1.30;100
Aakgraben;2017-01-05;0.00;100
Aakgraben;2017-01-06;0.00;100
Aakgraben;2017-01-07;2.23;100
Aakgraben;2017-01-08;0.00;100
Aakgraben;2017-01-09;1.01;100
Aakgraben;2017-01-10;0.48;100
Aakgraben;2017-01-11;1.81;100
Aakgraben;2017-01-12;4.39;100
Aakgraben;2017-01-13;3.60;100
Aakgraben;2017-01-14;1.12;100
Aakgraben;2017-01-15;2.84;100
Aakgraben;2017-01-16;0.06;100
Aakgraben;2017-01-17;0.00;100
Aakgraben;2017-01-18;0.00;100
Aakgraben;2017-01-19;0.00;100
Aakgraben;2017-01-20;0.00;100
Aakgraben;2017-01-21;0.00;100
Aakgraben;2017-01-22;0.00;100
Aakgraben;2017-01-23;0.00;100
Aakgraben;2017-01-24;0.00;100
Aakgraben;2017-01-25;0.00;100
Aakgraben;2017-01-26;0.00;100
Aakgraben;2017-01-27;0.00;100
Aakgraben;2017-01-28;0.06;100
Aakgraben;2017-01-29;0.42;100
Aakgraben;2017-01-30;2.88;100
Aakgraben;2017-01-31;0.00;100
Aakgraben;2017-02-01;0.40;100
Aakgraben;2017-02-02;0.10;100
Aakgraben;2017-02-03;1.52;100
Aakgraben;2017-02-04;2.55;100
Aakgraben;2017-02-05;0.00;100
Aakgraben;2017-02-06;0.00;100
Aakgraben;2017-02-07;1.12;100
Aakgraben;2017-02-08;0.00;100
Aakgraben;2017-02-09;0.00;100
Aakgraben;2017-02-10;0.00;100
Aakgraben;2017-02-11;0.00;100
Aakgraben;2017-02-12;0.00;100
Aakgraben;2017-02-13;0.00;100
Aakgraben;2017-02-14;0.00;100
Aakgraben;2017-02-15;0.00;100
Aakgraben;2017-02-16;1.00;100
Aakgraben;2017-02-17;3.13;100
Aakgraben;2017-02-18;0.06;100
Aakgraben;2017-02-19;0.53;100
Aakgraben;2017-02-20;3.22;100
Aakgraben;2017-02-21;0.32;100
Aakgraben;2017-02-22;17.66;100
Aakgraben;2017-02-23;8.16;100
Aakgraben;2017-02-24;0.00;100
Aakgraben;2017-02-25;0.03;100
Aakgraben;2017-02-26;0.00;100
Aakgraben;2017-02-27;3.76;100
Aakgraben;2017-02-28;3.43;100
Aakgraben;2017-03-01;5.46;100
Aakgraben;2017-03-02;0.71;100
Aakgraben;2017-03-03;0.03;100
Aakgraben;2017-03-04;0.21;100
Aakgraben;2017-03-05;0.25;100
Aakgraben;2017-03-06;0.39;100
Aakgraben;2017-03-07;1.01;100
Aakgraben;2017-03-08;8.57;100
Aakgraben;2017-03-09;0.71;100
Aakgraben;2017-03-10;0.00;100
